District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
OH-03,Joyce Beatty,(D),"231,278","93,890","330,494",70.00%,28.40%
OH-04,Jim Jordan,(R),"110,336","237,144","353,273",31.20%,67.10%
OH-05,Bob Latta,(R),"141,528","237,762","385,874",36.70%,61.60%
OH-06,Bill Johnson,(R),"91,296","248,554","344,239",26.50%,72.20%
OH-07,Bob Gibbs,(R),"120,706","237,313","363,357",33.20%,65.30%
OH-08,Warren Davidson,(R),"119,846","243,068","368,357",32.50%,66.00%
OH-09,Marcy Kaptur,(D),"184,337","124,569","313,540",58.80%,39.70%
OH-10,Mike Turner,(R),"172,471","188,673","367,302",47.00%,51.40%
OH-11,Shontel Brown,(D),"252,725","60,902","316,805",79.80%,19.20%
OH-12,Troy Balderson,(R),"206,386","232,901","446,172",46.30%,52.20%
OH-13,Tim Ryan,(D),"171,245","159,938","335,896",51.00%,47.60%
OH-14,David Joyce,(R),"185,689","222,983","413,841",44.90%,53.90%
OH-15,Mike Carey,(R),"166,098","221,898","393,949",42.20%,56.30%
OH-16,Anthony Gonzalez,(R),"173,685","232,207","411,139",42.20%,56.50%
OK-01,Kevin Hern,(R),"125,905","202,879","337,495",37.30%,60.10%
OK-02,Markwayne Mullin,(R),"64,353","221,123","290,575",22.10%,76.10%
OK-03,Frank Lucas,(R),"72,141","232,416","311,625",23.10%,74.60%
OK-04,Tom Cole,(R),"101,120","207,214","315,917",32.00%,65.60%
OK-05,Stephanie Bice,(R),"140,371","156,648","305,087",46.00%,51.30%
OR-01,Suzanne Bonamici,(D),"298,753","160,808","472,277",63.30%,34.00%
OR-02,Cliff Bentz,(R),"197,922","261,602","470,391",42.10%,55.60%
OR-03,Earl Blumenauer,(D),"356,659","112,556","479,782",74.30%,23.50%
OR-04,Peter DeFazio,(D),"238,619","219,851","470,962",50.70%,46.70%
OR-05,Kurt Schrader,(D),"248,430","203,631","463,820",53.60%,43.90%
PA-01,Brian Fitzpatrick,(R),"233,446","207,433","445,566",52.40%,46.60%
PA-02,Brendan Boyle,(D),"207,491","86,128","295,805",70.10%,29.10%
PA-03,Dwight Evans,(D),"357,956","31,769","392,103",91.30%,8.10%
PA-04,Madeleine Dean,(D),"276,491","168,191","449,359",61.50%,37.40%
PA-05,Mary Gay Scanlon,(D),"263,644","137,678","404,738",65.10%,34.00%
PA-06,Chrissy Houlahan,(D),"232,017","170,600","407,525",56.90%,41.90%
PA-07,Susan Wild,(D),"199,283","180,774","384,606",51.80%,47.00%
PA-08,Matt Cartwright,(D),"168,613","184,363","356,564",47.30%,51.70%
PA-09,Dan Meuser,(R),"122,523","232,115","359,619",34.10%,64.50%
PA-10,Scott Perry,(R),"189,803","201,367","396,974",47.80%,50.70%
PA-11,Lloyd Smucker,(R),"148,521","233,074","387,414",38.30%,60.20%
PA-12,Fred Keller,(R),"107,798","232,392","345,181",31.20%,67.30%
PA-13,John Joyce,(R),"100,543","264,266","369,191",27.20%,71.60%
PA-14,Guy Reschenthaler,(R),"135,824","240,206","380,075",35.70%,63.20%
PA-15,Glenn Thompson,(R),"96,863","250,545","351,941",27.50%,71.20%
PA-16,Mike Kelly,(R),"145,265","213,031","363,010",40.00%,58.70%
PA-17,Conor Lamb,(D),"221,505","209,637","436,600",50.70%,48.00%
PA-18,Mike Doyle,(D),"252,860","134,833","392,002",64.50%,34.40%
RI-01,David Cicilline,(D),"154,430","83,607","241,561",63.90%,34.60%
RI-02,Jim Langevin,(D),"153,056","116,315","273,437",56.00%,42.50%
SC-01,Nancy Mace,(R),"197,288","222,708","427,594",46.10%,52.10%
SC-02,Joe Wilson,(R),"158,948","200,210","364,935",43.60%,54.90%
SC-03,Jeff Duncan,(R),"102,331","228,058","335,118",30.50%,68.10%
SC-04,William Timmons,(R),"140,939","215,237","362,743",38.90%,59.30%
SC-05,Ralph Norman,(R),"150,853","211,989","367,759",41.00%,57.60%
SC-06,Jim Clyburn,(D),"194,414","92,192","290,095",67.00%,31.80%
